time,vx,vy,vz
0.440000,7.045643,4.086040,1.319930
0.441250,7.648487,3.982246,1.687028
0.442500,8.150895,3.896331,1.859676
0.443750,8.679102,3.883150,1.876827
0.445000,9.217884,3.730596,1.924154
0.446250,9.792471,3.397963,1.867130
0.447500,10.442735,2.985995,1.790732
0.448750,10.972099,2.598368,1.788753
0.450000,11.353538,2.363546,1.680713
0.451250,11.552399,2.185040,1.604834
0.452500,11.530796,2.093747,1.671346
0.453750,11.456820,2.213930,2.012610
0.455000,11.241980,2.353772,2.587096
0.456250,10.852893,2.661831,3.090363
0.457500,10.397437,3.034681,3.679802
0.458750,9.935262,3.245574,4.349402
0.460000,9.412132,3.527457,4.983354
0.461250,8.847517,3.975847,5.634776
0.462500,8.223984,4.203727,6.066035
0.463750,7.503498,4.043828,6.280487
0.465000,6.771914,3.854509,6.452432
0.466250,6.070395,3.740234,6.434058
0.467500,5.457167,3.538621,6.320496
0.468750,4.927745,3.286374,6.193614
0.470000,4.396021,2.956919,5.869566
0.471250,4.036580,2.577580,5.571415
0.472500,3.746336,2.248478,5.336658
0.473750,3.368029,2.082440,5.017369
0.475000,3.161730,2.137816,4.901101
0.476250,3.232203,2.241634,5.097241
0.477500,3.458079,2.382100,5.307615
0.478750,3.720759,2.588904,5.483899
0.480000,4.099053,2.887315,5.772258
0.481250,4.537151,3.279880,5.965571
0.482500,4.983828,3.603234,6.074578
0.483750,5.546712,3.810333,6.231632
0.485000,6.129043,3.918468,6.381547
0.486250,6.598955,3.861920,6.310988
0.487500,7.127490,3.695842,5.895542
0.488750,7.747421,3.579768,5.350433
0.490000,8.316323,3.346918,4.837906
0.491250,8.776056,2.991860,4.321545
0.492500,9.113093,2.742131,3.852949
0.493750,9.368040,2.506112,3.404658
0.495000,9.591301,2.269826,2.821821
0.496250,9.728098,1.980554,2.383248
0.497500,9.734056,1.763777,2.280334
0.498750,9.549991,1.872101,2.191483
0.500000,9.295661,2.127656,2.181696
0.501250,8.959974,2.470986,2.272591
0.502500,8.428462,2.833809,2.296239
0.503750,7.947853,3.133594,2.461321
0.505000,7.460759,3.342978,2.607870
0.506250,6.757582,3.361466,2.469736
0.507500,6.058209,3.379249,2.222869
0.508750,5.550316,3.336408,2.013806
0.510000,5.077821,3.079802,1.750446
0.511250,4.591657,2.784183,1.389337
0.512500,4.087287,2.463459,0.918658
0.513750,3.694502,2.126155,0.432537
0.515000,3.476483,1.987133,-0.022622
0.516250,3.428211,1.848691,-0.380130
0.517500,3.506284,1.719047,-0.539788
0.518750,3.612210,1.804026,-0.385725
0.520000,3.652121,2.100587,-0.078471
0.521250,3.788891,2.442762,0.215696
0.522500,4.185714,2.647503,0.684688
0.523750,4.753245,2.903052,1.056192
0.525000,5.315192,3.317513,1.366631
0.526250,5.892996,3.792583,1.745626
0.527500,6.525617,4.132761,2.023090
0.528750,7.156257,4.219677,2.279243
0.530000,7.744018,4.220945,2.403121
0.531250,8.337438,4.174775,2.171996
